ordinal,CAPITULO,Pos DOC,DOCUMENTO,Pos BIEN,BIEN,Articulo,Honorario,Detalle valor base
74,CAPITULO I - ACTOS Y CONTRATOS,16,REFUERZO DE GARANTIA,1,BIEN INMUEBLE,1) I) c),3%,"Valor asignado por las partes o valor catastral, el mayor "
75,CAPITULO I - ACTOS Y CONTRATOS,16,REFUERZO DE GARANTIA ,2,BIEN MUEBLE,1) II) c),2%,Valor asignado por las partes
76,CAPITULO I - ACTOS Y CONTRATOS,16,REFUERZO DE GARANTIA,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) c),3%,Valor asignado por las partes
77,CAPITULO I - ACTOS Y CONTRATOS,16,REFUERZO DE GARANTIA,4,AERONAVE,1) I) c),3%,Valor asignado por las partes
78,CAPITULO I - ACTOS Y CONTRATOS,16,REFUERZO DE GARANTIA,5,BUQUE,1) I) c),3%,Valor asignado por las partes
79,CAPITULO I - ACTOS Y CONTRATOS,17,SUSTITUCION  DE GARANTIA,1,BIEN INMUEBLE,1) I) c),3%,"Valor asignado por las partes o valor catastral, el mayor "
80,CAPITULO I - ACTOS Y CONTRATOS,17,SUSTITUCION  DE GARANTIA,2,BIEN MUEBLE,1) II) c),2%,Valor asignado por las partes
81,CAPITULO I - ACTOS Y CONTRATOS,17,SUSTITUCION  DE GARANTIA,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) c),3%,Valor asignado por las partes
82,CAPITULO I - ACTOS Y CONTRATOS,17,SUSTITUCION  DE GARANTIA,4,AERONAVE,1) I) c),3%,Valor asignado por las partes
83,CAPITULO I - ACTOS Y CONTRATOS,17,SUSTITUCION  DE GARANTIA,5,BUQUE,1) I) c),3%,Valor asignado por las partes
84,CAPITULO I - ACTOS Y CONTRATOS,18,TITULO HABIL PARA ADQUIRIR,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
85,CAPITULO I - ACTOS Y CONTRATOS,18,TITULO HABIL PARA ADQUIRIR,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
86,CAPITULO I - ACTOS Y CONTRATOS,18,TITULO HABIL PARA ADQUIRIR,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
87,CAPITULO I - ACTOS Y CONTRATOS,18,TITULO HABIL PARA ADQUIRIR,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
88,CAPITULO I - ACTOS Y CONTRATOS,18,TITULO HABIL PARA ADQUIRIR,5,BUQUE,1) I) a),3%,Valor asignado por las partes
89,CAPITULO I - ACTOS Y CONTRATOS,19,TRANSACCION,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
90,CAPITULO I - ACTOS Y CONTRATOS,19,TRANSACCION,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
91,CAPITULO I - ACTOS Y CONTRATOS,19,TRANSACCION,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
92,CAPITULO I - ACTOS Y CONTRATOS,19,TRANSACCION,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
93,CAPITULO I - ACTOS Y CONTRATOS,19,TRANSACCION,5,BUQUE,1) I) a),3%,Valor asignado por las partes
94,CAPITULO I - ACTOS Y CONTRATOS,20,USO (DERECHO REAL),1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
95,CAPITULO I - ACTOS Y CONTRATOS,20,USO (DERECHO REAL),2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
96,CAPITULO I - ACTOS Y CONTRATOS,20,USO (DERECHO REAL),3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
